40	    0.037       	0.010       	87
80	    0.071       	0.010	        85
100	    0.088       	0.010	        83
200 	0.174       	0.010	        80
400 	0.32        	0.010	        69
600 	0.464       	0.011	        61
800 	0.576       	0.012	        54
1000	0.664       	0.012	        48
2000	0.8888888889	0.013	        27
3000	0.9682539683	0.014	        18
4000	0.9842519685	0.014	        12
5000	1.007874016 	0.014	        6
7000	1.023622047 	0.014	        0
8000	1.015625	    0.014	        -2
10000	1	            0.014	        -5
20000	0.9457364341	0.013	        -20
30000	0.8682170543	0.01283247543	-31
40000	0.7846153846	0.01222183584	-40
50000	0.7022900763	0.0116600217	-48
60000	0.6335877863	0.01129600724	-53
80000	0.5112781955	0.0105556678	-61
110000	0.3947368421	0.01010422349	-70
150000	0.2932330827	0.009794232595	-75
200000	0.2164179104	0.0095443133	-79
300000	0.1333333333	0.009341201204	-85
400000	0.08888888889	0.009295767077	-90
600000	0.0287037037	0.009263072838	-97
800000	0.008333333333	0.009259580756	-106
