2000	0.9958333333	0.0815625	    -3.927	88	0.015	0.006
4000	0.9866939611	0.1687819857	-10.64	83	0.014	0.006
5000	0.9796126402	0.2082568807	-12.54	79	0.014	0.006
6000	0.9726166329	0.2479716024	-14.55	76	0.014	0.007
8000	0.9506048387	0.3259072581	-20	    74	0.014	0.007
10000	0.9204431017	0.3966767372	-24	    66	0.014	0.007
20000	0.7630799605	0.6602171767	-40	    51	0.012	0.009
40000	0.5043227666	0.8729106628	-60	    30	0.011	0.01
80000	0.2771996216	0.9668874172	-72	    17	0.010	0.011
100000	0.2235849057	0.9801886792	-76	    14	0.010	0.011
170000	0.1302717901	0.9962511715	-81	    8.6	0.009	0.011
280000	0.07406716418	0.9990671642	-84	    3.2	0.009	0.011
420000	0.03914259087	1.000931966	    -86	    1.6	0.009	0.011
