0.00000184	0.00000001	1.08	0.01
0.00000584	0.00000001	2.88	0.04
0.0000138	0.00000001	5.36	0.04
0.0000198	0.00000001	6.4	    0.04
0.0000258	0.00000001	7.04	0.04
0.0000318	0.00000001	7.28	0.04
0.0000398	0.00000001	7.2	    0.04
0.0000458	0.00000001	6.96	0.04
0.0000518	0.00000001	6.56	0.04
0.0000618	0.00000001	5.76	0.04
0.0000678	0.00000001	5.28	0.04
0.0000806	0.00000001	4.16	0.04
0.0000926	0.00000001	3.28	0.04
0.000104	0.00000001	2.52	0.04
0.000132	0.00000001	1.24	0.04
0.000156	0.00000001	0.6	    0.04
0.000184	0.00000001	0.28	0.04
